Nombre Cliente;Genero;Pais;Precio USD;Unidades Vendidas;Fecha Venta;Familia de Productos;Año;Ventas
Christopher Pena;No especificado;Italia;584.21;7;1/09/2023;Laptops;2023;4089.47
Marissa Hurley;No especificado;Francia;719.15;8;1/09/2023;Laptops;2023;5753.2
Ronnie Norton;Masculino;Francia;122;2;1/09/2023;Televisores;2023;244
Anna Sanchez;Femenino;USA;673.76;9;1/09/2023;Tablets;2023;6063.84
Jeffrey Fuller;No especificado;Colombia;830.57;7;1/09/2023;Cámaras;2023;5813.99
Heidi Avila;Femenino;Canada;765.02;4;1/09/2023;Laptops;2023;3060.08
John Chapman;Femenino;Colombia;584.98;7;1/09/2023;Consolas;2023;4094.86
Vanessa Jones;No especificado;Brasil;499.74;1;1/09/2023;Cámaras;2023;499.74
David Scott;Masculino;Brasil;845.6;10;1/09/2023;Televisores;2023;8456
Robert Williams;No especificado;Canada;952.2;2;1/09/2023;Cámaras;2023;1904.4
Jamie Andrews;Femenino;Argentina;497.25;9;1/09/2023;Cámaras;2023;4475.25
Alexandra Burgess;Femenino;Mexico;439.23;4;1/09/2023;Laptops;2023;1756.92
Bryan Johnson;No especificado;Colombia;224.04;10;1/09/2023;Desktops;2023;2240.4
Sarah Henderson;Femenino;Alemania;399.35;1;1/09/2023;Cámaras;2023;399.35
Steve Franco;Masculino;Canada;273.06;8;1/09/2023;Cámaras;2023;2184.48
Miss Daisy Rose;Masculino;Brasil;137.32;4;1/09/2023;Desktops;2023;549.28
Kevin Richmond;No especificado;Italia;453.15;1;1/09/2023;Televisores;2023;453.15
John Mills;No especificado;Alemania;639.75;10;1/09/2023;Laptops;2023;6397.5
Christine Blake;Femenino;Colombia;163.56;7;1/09/2023;Tablets;2023;1144.92
Allen Schaefer;Femenino;Mexico;968.19;8;1/09/2023;Cámaras;2023;7745.52
Nicole Nelson;Femenino;Canada;436.65;1;1/09/2023;Desktops;2023;436.65
Marisa Parker;Femenino;USA;251.8;7;1/09/2023;Laptops;2023;1762.6
Barry Gibbs;No especificado;Canada;524.4;5;1/09/2023;Tablets;2023;2622
Eric Mcmahon;Masculino;Brasil;833.26;1;1/09/2023;Cámaras;2023;833.26
Daniel Willis;Masculino;Mexico;619.18;5;1/09/2023;Televisores;2023;3095.9
Cody Gay;No especificado;USA;285.93;5;1/09/2023;Televisores;2023;1429.65
Mrs. Kristen Jones;Masculino;USA;588.97;10;1/09/2023;Televisores;2023;5889.7
Francisco Ali;No especificado;Canada;806.78;10;1/09/2023;Laptops;2023;8067.8
Jim Dennis;Femenino;Canada;437.45;5;1/09/2023;Desktops;2023;2187.25
James Ramirez;Femenino;Italia;531;4;1/09/2023;Laptops;2023;2124
James Lewis;Femenino;Francia;891.8;6;1/09/2023;Cámaras;2023;5350.8
Xavier Hughes;Masculino;Colombia;962.13;8;1/09/2023;Desktops;2023;7697.04
Bridget Jacobson;Femenino;Alemania;358.74;7;1/09/2023;Desktops;2023;2511.18
Melissa Contreras;Masculino;Brasil;147.63;4;1/09/2023;Televisores;2023;590.52
Linda Wood;Masculino;Colombia;489.22;5;1/09/2023;Desktops;2023;2446.1
Mary Ferguson;Masculino;España;839.44;7;1/09/2023;Televisores;2023;5876.08
Rebecca Crawford;No especificado;Canada;83.65;4;1/09/2023;Consolas;2023;334.6
Mary Townsend;Femenino;Italia;249.65;8;1/09/2023;Smartphones;2023;1997.2
Samantha Lang;Masculino;Brasil;298.7;4;1/09/2023;Televisores;2023;1194.8
Laura Downs;Femenino;Francia;671.94;7;1/09/2023;Tablets;2023;4703.58
Timothy Burns;No especificado;Canada;123.74;9;1/09/2023;Televisores;2023;1113.66
Leslie Miller;No especificado;Alemania;140.11;2;1/09/2023;Desktops;2023;280.22
Mrs. Jennifer Sullivan;Masculino;Brasil;365.72;6;1/09/2023;Tablets;2023;2194.32
Troy Thompson;No especificado;Italia;196.24;3;1/09/2023;Cámaras;2023;588.72
Maureen Kirk;No especificado;Canada;142.51;7;1/09/2023;Televisores;2023;997.57
Tammy Sawyer;Masculino;Italia;949.61;2;1/09/2023;Smartphones;2023;1899.22
William Cabrera;No especificado;Colombia;908.02;2;1/09/2023;Televisores;2023;1816.04
David Burgess;Femenino;Colombia;414.94;10;1/09/2023;Laptops;2023;4149.4
Fernando Fuller;Masculino;Alemania;501.86;4;1/09/2023;Desktops;2023;2007.44
Jennifer Henderson;Masculino;Brasil;883.81;2;1/09/2023;Cámaras;2023;1767.62
Amanda Lee;Masculino;Canada;85.43;10;1/09/2023;Televisores;2023;854.3
Sherry Perry;No especificado;Mexico;106.39;7;1/09/2023;Smartphones;2023;744.73
Joseph Gomez;No especificado;Francia;802.08;10;1/09/2023;Televisores;2023;8020.8
William Costa;Masculino;Italia;634.54;9;1/09/2023;Desktops;2023;5710.86
Diana Rodriguez;No especificado;Brasil;429.44;2;1/10/2023;Smartphones;2023;858.88
Karen Walsh;No especificado;Argentina;401.15;4;1/10/2023;Tablets;2023;1604.6
Travis Richardson;Femenino;Canada;461.79;7;1/10/2023;Cámaras;2023;3232.53
Randy Jones;Masculino;España;908.75;6;1/10/2023;Smartphones;2023;5452.5
Alicia Levy MD;Masculino;USA;357.2;9;1/10/2023;Desktops;2023;3214.8
Steve Alvarez;Masculino;Brasil;91.53;8;1/10/2023;Desktops;2023;732.24
David Stewart;Femenino;España;947.9;6;1/10/2023;Consolas;2023;5687.4
Amy Smith;Masculino;Alemania;870.47;9;1/10/2023;Cámaras;2023;7834.23
Vanessa Graham;Femenino;Canada;318.07;8;1/10/2023;Tablets;2023;2544.56
Kelly Lynn;Masculino;Italia;796.97;5;1/10/2023;Televisores;2023;3984.85
Sergio Lee;Masculino;Alemania;636.23;2;1/10/2023;Smartphones;2023;1272.46
Erica Weaver;No especificado;USA;848.81;1;1/10/2023;Tablets;2023;848.81
David Liu;No especificado;Italia;612.17;3;1/10/2023;Tablets;2023;1836.51
Alicia Mccarthy;No especificado;Alemania;547.97;4;1/10/2023;Tablets;2023;2191.88
Francisco Garcia;No especificado;Brasil;92.68;6;1/10/2023;Laptops;2023;556.08
Joshua Jones;Femenino;Argentina;160.29;4;1/10/2023;Televisores;2023;641.16
Timothy Williams;Femenino;Mexico;455.34;9;1/10/2023;Televisores;2023;4098.06
Gabriel Harris;Femenino;Argentina;229.53;3;1/10/2023;Smartphones;2023;688.59
Christina Whitaker;No especificado;Argentina;987.56;2;1/10/2023;Tablets;2023;1975.12
John Riley;Femenino;Argentina;451.57;5;1/10/2023;Smartphones;2023;2257.85
Joshua Perez;Masculino;Francia;523.12;2;1/10/2023;Cámaras;2023;1046.24
Alyssa Hardy;Masculino;Argentina;341.49;8;1/10/2023;Consolas;2023;2731.92
Chris Miller;No especificado;Italia;773.45;6;1/10/2023;Televisores;2023;4640.7
Dennis Collins;Masculino;Alemania;269.83;1;1/10/2023;Desktops;2023;269.83
Ann Allison;Masculino;Canada;938.26;7;1/10/2023;Televisores;2023;6567.82
Robert Lucas;Masculino;Alemania;278.22;2;1/10/2023;Desktops;2023;556.44
Mary Kirby;Femenino;USA;837.54;1;1/10/2023;Smartphones;2023;837.54
Anna Wagner;No especificado;USA;664.04;8;1/10/2023;Tablets;2023;5312.32
Mary Martin;No especificado;Colombia;817.57;2;1/10/2023;Desktops;2023;1635.14
Christine Francis;Masculino;USA;854.2;8;1/10/2023;Consolas;2023;6833.6
Karen Hancock;Masculino;Francia;702.3;7;1/10/2023;Cámaras;2023;4916.1
Barry Smith;Femenino;Brasil;593.46;1;1/10/2023;Consolas;2023;593.46
Dennis Davidson;No especificado;Canada;128.6;6;1/10/2023;Laptops;2023;771.6
Jordan Eaton;Masculino;Francia;479.28;1;1/10/2023;Laptops;2023;479.28
April Barker;Masculino;Argentina;741.68;4;1/10/2023;Tablets;2023;2966.72
Brian Burch;Masculino;Alemania;259.53;5;1/10/2023;Desktops;2023;1297.65
Julie Hernandez;No especificado;Brasil;286.52;6;1/10/2023;Televisores;2023;1719.12
Megan Collins;No especificado;Francia;217.55;4;1/10/2023;Consolas;2023;870.2
Erin Campbell;Femenino;Alemania;703.84;3;1/10/2023;Smartphones;2023;2111.52
Cynthia Edwards;Masculino;Italia;481.71;2;1/10/2023;Desktops;2023;963.42
Robert Smith;Femenino;Canada;605.75;4;1/10/2023;Televisores;2023;2423
Candice Carrillo;Femenino;Alemania;141.39;1;1/10/2023;Smartphones;2023;141.39
Steven Duran;No especificado;España;228.41;10;1/10/2023;Consolas;2023;2284.1
Casey Villa;Femenino;Italia;264.66;3;1/10/2023;Desktops;2023;793.98
Johnny Burns;Masculino;Alemania;56.51;6;1/10/2023;Tablets;2023;339.06
Jeffery Robertson;No especificado;Colombia;312.98;2;1/10/2023;Laptops;2023;625.96
Nancy Riley;No especificado;Argentina;447.97;1;1/10/2023;Desktops;2023;447.97
Jennifer Gomez;Femenino;Mexico;294.19;5;1/10/2023;Cámaras;2023;1470.95
Audrey Smith;Femenino;Francia;53.6;9;1/10/2023;Desktops;2023;482.4
Rachel Russell DDS;Masculino;Italia;260.49;6;1/10/2023;Cámaras;2023;1562.94
Karl Paul;No especificado;Argentina;601.94;10;1/10/2023;Consolas;2023;6019.4
Thomas Wilkinson;Masculino;Brasil;213.55;4;1/10/2023;Consolas;2023;854.2
Sean Hogan;Femenino;Brasil;615.8;1;1/10/2023;Laptops;2023;615.8
Katherine Barr;Masculino;USA;937.14;10;1/10/2023;Cámaras;2023;9371.4
Lori Mcgee;Masculino;Francia;377.94;7;1/10/2023;Televisores;2023;2645.58
Russell Molina;No especificado;Colombia;499.53;1;1/10/2023;Desktops;2023;499.53
Paul Calhoun;Masculino;Francia;76.62;6;1/10/2023;Cámaras;2023;459.72
Ricardo Cox;No especificado;Colombia;319.33;1;1/10/2023;Consolas;2023;319.33
Wendy Schmidt;Femenino;Mexico;422.14;10;1/10/2023;Cámaras;2023;4221.4
Kyle Snyder;No especificado;Italia;546.03;6;1/10/2023;Televisores;2023;3276.18
Timothy Ramirez;Masculino;España;127.31;5;1/10/2023;Smartphones;2023;636.55
Susan Steele;Femenino;Brasil;831.13;5;1/10/2023;Cámaras;2023;4155.65
Dave Nelson;No especificado;USA;909.24;10;1/10/2023;Desktops;2023;9092.4
Brittany Mercado;Masculino;Mexico;223.86;10;1/10/2023;Consolas;2023;2238.6
Alexander Flores;No especificado;Alemania;271.37;5;1/10/2023;Laptops;2023;1356.85
Miss Jennifer Ross;No especificado;Mexico;658.82;5;1/10/2023;Laptops;2023;3294.1
Janice Briggs;No especificado;Canada;696.83;1;1/10/2023;Smartphones;2023;696.83
Anna Guzman;Masculino;Brasil;872.45;3;1/10/2023;Smartphones;2023;2617.35
Richard Miller;Masculino;Francia;263.54;1;1/10/2023;Tablets;2023;263.54
Kirk Kim;Masculino;Francia;585.09;2;1/10/2023;Laptops;2023;1170.18
Erica Lewis;Masculino;Colombia;224.22;8;1/10/2023;Cámaras;2023;1793.76
Brittney Rodriguez;Femenino;USA;357.66;4;1/10/2023;Desktops;2023;1430.64
Angelica Atkinson;No especificado;USA;532.59;2;1/10/2023;Smartphones;2023;1065.18
Tricia Greer;Masculino;Argentina;597.56;10;1/10/2023;Televisores;2023;5975.6
Sherry Marquez;Masculino;Colombia;63.32;4;1/10/2023;Cámaras;2023;253.28
Joshua Soto;Femenino;USA;130.04;7;1/10/2023;Tablets;2023;910.28
Christine Owens;Femenino;Alemania;863.33;4;1/10/2023;Televisores;2023;3453.32
Virginia Montgomery;No especificado;Mexico;580.22;8;1/10/2023;Desktops;2023;4641.76
Lisa Martinez;Masculino;Alemania;984.89;10;1/10/2023;Smartphones;2023;9848.9
Daniel Perez;No especificado;Argentina;861.71;3;1/10/2023;Cámaras;2023;2585.13
Michelle Mccarthy;Masculino;Italia;302.81;7;1/10/2023;Laptops;2023;2119.67
Riley Booker;No especificado;España;679.34;7;1/10/2023;Desktops;2023;4755.38
Juan Wright;Femenino;Francia;385.96;4;1/10/2023;Consolas;2023;1543.84
Richard Morales;Femenino;Mexico;811.49;7;1/10/2023;Desktops;2023;5680.43
Susan Griffith;Femenino;USA;254.6;4;1/10/2023;Consolas;2023;1018.4
Cynthia Vasquez;No especificado;Canada;395.16;1;1/10/2023;Televisores;2023;395.16
Alyssa Green;Masculino;Brasil;913.67;5;1/10/2023;Laptops;2023;4568.35
Wendy Wilson;No especificado;USA;164.95;5;1/10/2023;Desktops;2023;824.75
David Martinez;Masculino;Alemania;744.77;5;1/10/2023;Cámaras;2023;3723.85
Jacob Lucas;No especificado;Argentina;69.71;3;1/10/2023;Consolas;2023;209.13
Dennis Lloyd;Masculino;Alemania;588.04;7;1/10/2023;Desktops;2023;4116.28
Gregory Banks;No especificado;Colombia;862.46;10;1/10/2023;Laptops;2023;8624.6
Cheryl Wilson;Femenino;España;936.54;5;1/10/2023;Cámaras;2023;4682.7
Matthew Steele;No especificado;Francia;231.71;2;1/10/2023;Cámaras;2023;463.42
Sarah Thornton;Masculino;España;344.81;4;1/10/2023;Laptops;2023;1379.24
Shannon Garcia;Masculino;Italia;388.68;8;1/10/2023;Televisores;2023;3109.44
Mark Johnson;Femenino;USA;354.93;10;1/10/2023;Cámaras;2023;3549.3
Lauren Johnson;No especificado;Italia;158.85;9;1/10/2023;Laptops;2023;1429.65
Christian Jones;Femenino;Argentina;316.29;2;1/10/2023;Cámaras;2023;632.58
Courtney Taylor;Femenino;Colombia;740.47;9;1/10/2023;Televisores;2023;6664.23
Gina Martinez;No especificado;España;758.91;2;1/10/2023;Consolas;2023;1517.82
Mark Cooke;No especificado;Alemania;200.28;10;1/10/2023;Desktops;2023;2002.8
Robert Mason;Masculino;Brasil;873.69;3;1/10/2023;Tablets;2023;2621.07
Robert Lambert;No especificado;España;237.78;3;1/10/2023;Tablets;2023;713.34
Jeffrey Porter;Femenino;Canada;189.31;8;1/10/2023;Televisores;2023;1514.48
William Howard;Femenino;Mexico;818.15;9;1/10/2023;Tablets;2023;7363.35
Amy Wilson;Masculino;Argentina;253.1;8;1/10/2023;Tablets;2023;2024.8
David Cohen;Femenino;Mexico;527.76;10;1/10/2023;Consolas;2023;5277.6
Brooke Cain;No especificado;Alemania;588.38;1;1/10/2023;Tablets;2023;588.38
Carla Solis;No especificado;Brasil;351.68;1;1/10/2023;Televisores;2023;351.68
Renee Anderson;Femenino;Italia;822.49;5;1/10/2023;Laptops;2023;4112.45
Maria Pena;Femenino;Brasil;945.06;6;1/10/2023;Cámaras;2023;5670.36
Jessica Hunt;No especificado;Argentina;486.38;1;1/10/2023;Consolas;2023;486.38
Johnny Johnson;Masculino;Colombia;259.23;4;1/10/2023;Consolas;2023;1036.92
Deborah Lee;Masculino;Alemania;642.9;3;1/10/2023;Cámaras;2023;1928.7
Heather Turner;Femenino;Brasil;350.55;1;1/10/2023;Laptops;2023;350.55
Joseph Smith;No especificado;Colombia;926.77;5;1/10/2023;Smartphones;2023;4633.85
Samuel Fowler DDS;No especificado;Argentina;243.51;6;1/10/2023;Tablets;2023;1461.06
Timothy Kaufman;No especificado;Italia;158.06;8;1/10/2023;Televisores;2023;1264.48
Russell Stevens;Femenino;Brasil;109.52;10;1/10/2023;Desktops;2023;1095.2
Ashley Ross;No especificado;España;169.4;2;1/10/2023;Tablets;2023;338.8
Robert Barker;No especificado;Alemania;644.46;2;1/10/2023;Televisores;2023;1288.92
Samantha Flynn;No especificado;Alemania;755.28;5;1/10/2023;Tablets;2023;3776.4
Linda Bernard;No especificado;España;476.94;1;1/10/2023;Tablets;2023;476.94
Brandon Thomas;No especificado;Argentina;912.02;8;1/10/2023;Tablets;2023;7296.16
Melissa Mcdonald;Femenino;USA;472.7;9;1/10/2023;Smartphones;2023;4254.3
Tina Gordon;No especificado;España;223.5;4;1/10/2023;Laptops;2023;894
Jason Morrison;Femenino;España;612.57;10;1/10/2023;Smartphones;2023;6125.7
Jeffrey Holmes;Masculino;España;957.33;1;1/10/2023;Televisores;2023;957.33
Joshua Roberts;Masculino;Colombia;927.56;7;1/10/2023;Consolas;2023;6492.92
Dr. Randall Franco;Femenino;Argentina;245.91;7;1/10/2023;Tablets;2023;1721.37
Andrew Gardner;Femenino;USA;714.71;5;1/10/2023;Tablets;2023;3573.55
Andrea Johnson;No especificado;Argentina;121.81;2;1/10/2023;Tablets;2023;243.62
Drew Burke;Masculino;Canada;711.89;8;1/10/2023;Smartphones;2023;5695.12
Nathan Stewart;Femenino;Mexico;623.87;1;1/10/2023;Tablets;2023;623.87
Robert Martinez;Femenino;Canada;248.15;10;1/10/2023;Smartphones;2023;2481.5
Crystal Boyd;Masculino;USA;598.39;4;1/10/2023;Televisores;2023;2393.56
Ernest Lozano;Masculino;España;686.54;8;1/10/2023;Laptops;2023;5492.32
Robin Johnson;No especificado;Francia;639.82;9;1/10/2023;Tablets;2023;5758.38
Catherine Norman;Masculino;Alemania;322.63;2;1/10/2023;Desktops;2023;645.26
Troy Fields;Masculino;Francia;389.8;4;1/10/2023;Consolas;2023;1559.2
John Perry DDS;Femenino;Argentina;578.55;5;1/10/2023;Cámaras;2023;2892.75
Barbara Jackson;Femenino;Colombia;793.82;9;1/10/2023;Tablets;2023;7144.38
Zachary Saunders;Masculino;Canada;845.84;5;1/10/2023;Televisores;2023;4229.2
Frank Williams;No especificado;Mexico;167.43;9;1/10/2023;Laptops;2023;1506.87
Jordan Bauer;Masculino;España;774.48;1;1/10/2023;Televisores;2023;774.48
Mrs. Angela Bowen;Femenino;Italia;864.81;7;1/10/2023;Consolas;2023;6053.67
Margaret Thomas;Masculino;Mexico;302.52;5;1/10/2023;Televisores;2023;1512.6
Cassandra Reese;Femenino;Italia;440.29;8;1/10/2023;Smartphones;2023;3522.32
Jacqueline Alvarado;No especificado;Alemania;279.72;1;1/10/2023;Laptops;2023;279.72
Jesse Fowler;No especificado;Francia;796.75;9;1/10/2023;Consolas;2023;7170.75
Rebecca White;Femenino;Colombia;722.35;10;1/10/2023;Televisores;2023;7223.5
Stacy White;No especificado;Canada;993.45;4;1/10/2023;Desktops;2023;3973.8
Mary Kelly;No especificado;Argentina;544.14;5;1/10/2023;Televisores;2023;2720.7
Jared Johnson;No especificado;Francia;565.89;1;1/10/2023;Tablets;2023;565.89
Donald Wilkerson;Masculino;Francia;415.1;4;1/10/2023;Consolas;2023;1660.4
Jason Reed DVM;Femenino;Argentina;445.51;9;1/10/2023;Laptops;2023;4009.59
Jordan Robinson;No especificado;Brasil;353.86;7;1/10/2023;Cámaras;2023;2477.02
Eric Bauer;Femenino;Canada;915.87;2;1/10/2023;Smartphones;2023;1831.74
Holly Dorsey;Masculino;Argentina;285.89;10;1/10/2023;Desktops;2023;2858.9
Elizabeth Schroeder;No especificado;Colombia;635.27;5;1/10/2023;Tablets;2023;3176.35
Francisco Collins DDS;No especificado;Alemania;591.3;2;1/10/2023;Tablets;2023;1182.6
Gabriel Cordova;No especificado;Brasil;263.42;2;1/10/2023;Desktops;2023;526.84
Kevin Clements;Femenino;Brasil;487.96;6;1/10/2023;Televisores;2023;2927.76
Dr. Karen Jones MD;Femenino;USA;740.03;5;1/10/2023;Tablets;2023;3700.15
Scott Soto;No especificado;Francia;755.44;3;1/10/2023;Tablets;2023;2266.32
Brandon Jenkins;Masculino;Italia;563.61;1;1/10/2023;Consolas;2023;563.61
Angela Cohen;Masculino;España;739.63;4;1/10/2023;Consolas;2023;2958.52
Jesse Perkins;Femenino;Mexico;856.21;6;1/10/2023;Cámaras;2023;5137.26
Christopher Carter;No especificado;USA;100.13;7;1/10/2023;Smartphones;2023;700.91
Jack Lawson;No especificado;Colombia;862.66;2;1/10/2023;Consolas;2023;1725.32
Dustin Patterson;Femenino;Alemania;475.64;4;1/10/2023;Smartphones;2023;1902.56
Matthew Clark;No especificado;Colombia;489.45;1;1/10/2023;Tablets;2023;489.45
Catherine Robbins;No especificado;Argentina;57.02;2;1/10/2023;Consolas;2023;114.04
Paul Ramos;No especificado;Colombia;488.69;6;1/10/2023;Tablets;2023;2932.14
Jessica Sims;Femenino;Italia;997.78;7;1/10/2023;Tablets;2023;6984.46
Kelly Kim;Masculino;Italia;672.02;6;1/10/2023;Consolas;2023;4032.12
Melissa Hodge;No especificado;Francia;99.16;8;1/10/2023;Consolas;2023;793.28
Thomas Walker;Masculino;Colombia;955.29;2;1/10/2023;Cámaras;2023;1910.58
Marcus Pearson;Masculino;Argentina;783.47;8;1/10/2023;Smartphones;2023;6267.76
Cory Vance;Femenino;España;138.26;9;1/10/2023;Televisores;2023;1244.34
Tammy Hunter;Femenino;Mexico;290.88;7;1/10/2023;Tablets;2023;2036.16
Regina Lawrence;Femenino;España;969.89;10;1/10/2023;Smartphones;2023;9698.9
Anthony Copeland;No especificado;Argentina;577.79;10;1/10/2023;Televisores;2023;5777.9
Keith Martin;No especificado;Canada;672.43;5;1/10/2023;Tablets;2023;3362.15
Deborah Hester;Masculino;Alemania;948.33;1;1/10/2023;Laptops;2023;948.33
Lisa Gonzalez;Femenino;Italia;602.2;4;1/10/2023;Televisores;2023;2408.8
Daniel Bartlett;Femenino;Francia;488.59;7;1/10/2023;Desktops;2023;3420.13
Jacob Contreras;Masculino;Alemania;199.94;1;1/10/2023;Smartphones;2023;199.94
Rachel Cruz;Femenino;Francia;785.17;4;1/10/2023;Laptops;2023;3140.68
Tyrone Sanders;Femenino;Mexico;617.9;1;1/10/2023;Laptops;2023;617.9
Edward Chapman;No especificado;Mexico;987.96;8;1/10/2023;Desktops;2023;7903.68
Angela Ortega;Masculino;Colombia;781.73;7;1/10/2023;Televisores;2023;5472.11
Jody Jimenez;No especificado;Colombia;78.5;8;1/10/2023;Laptops;2023;628
Lauren Trujillo;Masculino;Mexico;651.92;8;1/10/2023;Smartphones;2023;5215.36
Kiara Rivas;No especificado;Francia;648.38;8;1/10/2023;Laptops;2023;5187.04
Jeffrey Dean DDS;Femenino;Colombia;768.59;2;1/10/2023;Tablets;2023;1537.18
Nicole Meyers;No especificado;Francia;338.53;6;1/10/2023;Televisores;2023;2031.18
Christopher Williams;No especificado;Canada;147.18;9;1/10/2023;Televisores;2023;1324.62
Michelle Hancock DDS;Femenino;Italia;173.3;8;1/10/2023;Consolas;2023;1386.4
Steven Adams;Masculino;Canada;757.85;3;1/10/2023;Laptops;2023;2273.55
Jennifer Lynch;Masculino;Brasil;418.5;10;1/10/2023;Consolas;2023;4185
Lindsey Castro;Masculino;Colombia;94.07;6;1/10/2023;Consolas;2023;564.42
John Bryant;Masculino;Argentina;349.49;8;1/10/2023;Smartphones;2023;2795.92
James Davis;Femenino;Alemania;152.12;5;1/10/2023;Consolas;2023;760.6
Brandon Young;Masculino;Argentina;534.93;9;1/10/2023;Cámaras;2023;4814.37
Barry Irwin;Femenino;Francia;288.41;6;1/10/2023;Laptops;2023;1730.46
Craig Collins;Masculino;Argentina;776.62;1;1/10/2023;Televisores;2023;776.62
Molly Gibson;Masculino;Canada;176.85;4;1/10/2023;Tablets;2023;707.4
Michelle Carter;Masculino;Canada;518.26;8;1/10/2023;Consolas;2023;4146.08
Sherri Miller;Femenino;Francia;196.02;7;1/10/2023;Televisores;2023;1372.14
Margaret Johnson MD;Masculino;USA;144.85;7;1/10/2023;Televisores;2023;1013.95
Timothy Mullen;Masculino;USA;60.31;2;1/10/2023;Smartphones;2023;120.62
Laura Mcguire;Masculino;Alemania;520.21;5;1/10/2023;Televisores;2023;2601.05
Maureen Nguyen;No especificado;Brasil;947.3;5;1/10/2023;Televisores;2023;4736.5
John Lopez;Femenino;USA;885.97;5;1/10/2023;Laptops;2023;4429.85
Kristen Jones;No especificado;España;293.26;4;1/10/2023;Laptops;2023;1173.04
Steven Mcclure;No especificado;Alemania;155.25;3;1/10/2023;Smartphones;2023;465.75
Larry Davis;No especificado;Italia;397.8;2;1/10/2023;Consolas;2023;795.6
Danielle Martinez;Masculino;Italia;717.7;10;1/10/2023;Laptops;2023;7177
Maria Robinson;No especificado;Italia;250.52;5;1/10/2023;Cámaras;2023;1252.6
Richard Cortez;Masculino;Alemania;814.76;5;1/10/2023;Laptops;2023;4073.8
Edward Mcintosh;Masculino;Canada;734.57;8;1/10/2023;Smartphones;2023;5876.56
Lonnie Burns;No especificado;Francia;250.62;1;1/10/2023;Consolas;2023;250.62
Wesley Leon;Femenino;España;140.72;7;1/10/2023;Televisores;2023;985.04
Ryan Horn;Femenino;Colombia;617.3;10;1/10/2023;Televisores;2023;6173
Alicia Fisher MD;Femenino;Italia;478.92;4;1/10/2023;Smartphones;2023;1915.68
Emily West;No especificado;Brasil;524.63;8;1/10/2023;Consolas;2023;4197.04
Matthew Parks;Masculino;Canada;210.24;6;1/10/2023;Consolas;2023;1261.44
Catherine Griffin;No especificado;USA;625.36;1;1/10/2023;Smartphones;2023;625.36
Jeffrey Smith;Femenino;Francia;748.11;5;1/10/2023;Televisores;2023;3740.55
Paul Cardenas;Femenino;Colombia;765.04;5;1/10/2023;Consolas;2023;3825.2
Kelly Joseph;Femenino;USA;521.46;5;1/10/2023;Consolas;2023;2607.3
Sydney Adams;Femenino;España;891.65;4;1/10/2023;Laptops;2023;3566.6
Nicole Aguilar;Masculino;España;684.56;9;1/10/2023;Cámaras;2023;6161.04
Anita Jennings;Femenino;USA;269.65;7;1/10/2023;Televisores;2023;1887.55
Madison Jones;Masculino;Italia;448.96;9;1/10/2023;Desktops;2023;4040.64
Jamie Barrett;Femenino;Argentina;175.81;10;1/11/2023;Smartphones;2023;1758.1
Cody Henderson;No especificado;Colombia;633.02;9;1/11/2023;Smartphones;2023;5697.18
Marcus Hughes;Femenino;Francia;615.58;2;1/11/2023;Desktops;2023;1231.16
Tina Odonnell;No especificado;Canada;220.14;6;1/11/2023;Consolas;2023;1320.84
Kim Davis;No especificado;USA;679.63;10;1/11/2023;Televisores;2023;6796.3
Michael Payne;Masculino;Alemania;228.77;9;1/11/2023;Tablets;2023;2058.93
Kylie Brown;Masculino;Alemania;397.65;3;1/11/2023;Cámaras;2023;1192.95
Zachary Bennett;Masculino;Canada;541.08;2;1/11/2023;Televisores;2023;1082.16
David Mckay;Femenino;USA;590.1;7;1/11/2023;Smartphones;2023;4130.7
Dr. Gabrielle Rodriguez;No especificado;Argentina;365.21;8;1/11/2023;Laptops;2023;2921.68
Megan Ellis;No especificado;España;568.29;3;1/11/2023;Televisores;2023;1704.87
Helen Long;Femenino;Alemania;284.71;10;1/11/2023;Desktops;2023;2847.1
Laura Williamson;No especificado;Canada;748.7;5;1/11/2023;Laptops;2023;3743.5
Donald Ford;Femenino;USA;824.26;8;1/11/2023;Smartphones;2023;6594.08
Kristine Garcia;Masculino;Canada;824.26;4;1/11/2023;Desktops;2023;3297.04
Dakota Stewart MD;Femenino;Colombia;485.01;7;1/11/2023;Desktops;2023;3395.07
James Mcgee;Femenino;Colombia;418.08;10;1/11/2023;Tablets;2023;4180.8
Barry Todd;Femenino;Colombia;833.16;3;1/11/2023;Laptops;2023;2499.48
Katrina Thompson;Masculino;Alemania;541.25;2;1/11/2023;Smartphones;2023;1082.5
William Nguyen;No especificado;USA;372.41;6;1/11/2023;Televisores;2023;2234.46
Darryl Phelps;Masculino;España;964.2;2;1/11/2023;Televisores;2023;1928.4
Shelby Williams;No especificado;Canada;454.58;3;1/11/2023;Tablets;2023;1363.74
Lawrence Walker;Masculino;Argentina;462.64;9;1/11/2023;Cámaras;2023;4163.76
James Garcia;Femenino;Francia;642.86;2;1/11/2023;Laptops;2023;1285.72
Michael Cortez;Masculino;Alemania;844.29;3;1/11/2023;Laptops;2023;2532.87
Mrs. Kelly Cooper DVM;No especificado;Colombia;281.46;5;1/11/2023;Consolas;2023;1407.3
Brenda Holloway;Masculino;Colombia;176.94;7;1/11/2023;Desktops;2023;1238.58
Adam Henderson;Femenino;Italia;542.18;6;1/11/2023;Televisores;2023;3253.08
